position,BGA_05,BGA_06,BGA_07,BGA_08,BGA_09,BGA_10,BGA_11,BGA_12,BGA_13,BGA_14,BGA_15,BGA_16,BGA_17,BGA_18,BGA_19,BGA_20,BGA_21,BGA_22,BGA_23,BGA_24,BGA_25,BGA_26,BGA_27,BGA_28,BGA_29,BGA_30,BGA_00
178.3,0.1292,0.1277,0.1933,0.1932,0.7509,0.7456,0.4467,0.4463,-2.3513,-2.35,2.0165,2.0168,-2.2333,-2.238,0.1731,0.1805,1.0902,1.0916,0.6223,0.6235,0.3107,0.3121,0.1479,0.1477,0.0794,0.08,0
180.3,0.1202,0.1185,0.1848,0.185,0.7255,0.7205,0.4806,0.4822,-2.3388,-2.338,1.9729,1.9711,-2.2282,-2.23,0.2242,0.2295,1.0815,1.0818,0.6167,0.6162,0.3132,0.3147,0.1488,0.1484,0.0815,0.0811,0
182.4,0.1072,0.1064,0.1739,0.174,0.6946,0.694,0.5146,0.5162,-2.318,-2.3193,1.9219,1.9227,-2.2122,-2.2143,0.2719,0.2744,1.0718,1.0735,0.6061,0.6062,0.3114,0.3124,0.1479,0.1472,0.0801,0.0803,0
184.4,0.0944,0.0938,0.1634,0.1638,0.6656,0.6666,0.5465,0.5464,-2.2929,-2.2945,1.8685,1.8716,-2.1901,-2.1951,0.3145,0.3191,1.0611,1.064,0.5927,0.5947,0.3091,0.3097,0.1467,0.146,0.079,0.0799,0
186.5,0.0823,0.082,0.1555,0.1558,0.6422,0.642,0.5728,0.5722,-2.264,-2.2635,1.8156,1.8159,-2.1674,-2.1698,0.3555,0.3591,1.05,1.0513,0.5802,0.5814,0.308,0.3084,0.1462,0.1458,0.0795,0.0798,0
188.6,0.0702,0.0703,0.1493,0.1494,0.6196,0.6187,0.5953,0.5958,-2.231,-2.2302,1.7609,1.7593,-2.1404,-2.1401,0.3919,0.3931,1.0396,1.0402,0.5675,0.5673,0.3066,0.3068,0.1461,0.146,0.0801,0.0805,0
190.6,0.0584,0.0586,0.1443,0.1445,0.5982,0.5969,0.6169,0.6191,-2.2,-2.2004,1.7085,1.7072,-2.1135,-2.1131,0.4232,0.4244,1.0332,1.0329,0.5545,0.5539,0.3051,0.3061,0.1474,0.1468,0.0814,0.0823,0
192.7,0.0478,0.0474,0.1398,0.1411,0.5816,0.5801,0.6404,0.6425,-2.1795,-2.1808,1.6652,1.6655,-2.0962,-2.0969,0.4541,0.4561,1.0334,1.0316,0.5441,0.5429,0.3044,0.3065,0.1495,0.1493,0.0834,0.0839,0
194.7,0.0379,0.0368,0.1356,0.1384,0.5688,0.5686,0.6702,0.6697,-2.1777,-2.1795,1.6367,1.6399,-2.0969,-2.0985,0.4901,0.4898,1.04,1.0379,0.5401,0.5382,0.3064,0.3079,0.1519,0.1534,0.0859,0.086,0
196.8,0.0276,0.0266,0.1325,0.1345,0.559,0.56,0.7094,0.708,-2.2038,-2.2051,1.6308,1.6337,-2.1235,-2.1237,0.5326,0.5294,1.0569,1.0551,0.5441,0.5433,0.3108,0.3117,0.1555,0.1574,0.0889,0.0892,0
